[2025-10-15 20:21:54,042][contrast_train.py][line:362][INFO] Epoch [018/200] Train Loss: 1.7340 (CE 0.9477, Con 5.7097, RegionCon 3.8919, Reg 0.020771) | Train Acc: 0.7153 | Test Acc: 0.6677 | LR: 0.001000
[2025-10-15 20:25:44,784][contrast_train.py][line:362][INFO] Epoch [019/200] Train Loss: 1.6955 (CE 0.9155, Con 5.6491, RegionCon 3.9171, Reg 0.019240) | Train Acc: 0.7242 | Test Acc: 0.6961 | LR: 0.001000
[2025-10-15 20:29:35,886][contrast_train.py][line:362][INFO] Epoch [020/200] Train Loss: 1.6655 (CE 0.8919, Con 5.5800, RegionCon 3.9240, Reg 0.019393) | Train Acc: 0.7283 | Test Acc: 0.6665 | LR: 0.000500
[2025-10-15 20:33:26,653][contrast_train.py][line:362][INFO] Epoch [021/200] Train Loss: 1.5598 (CE 0.7953, Con 5.4929, RegionCon 3.9226, Reg 0.019053) | Train Acc: 0.7552 | Test Acc: 0.7395 | LR: 0.000500
[2025-10-15 20:37:18,112][contrast_train.py][line:362][INFO] Epoch [022/200] Train Loss: 1.4948 (CE 0.7386, Con 5.4078, RegionCon 3.9413, Reg 0.018312) | Train Acc: 0.7737 | Test Acc: 0.7350 | LR: 0.000500
[2025-10-15 20:41:09,017][contrast_train.py][line:362][INFO] Epoch [023/200] Train Loss: 1.4759 (CE 0.7243, Con 5.3663, RegionCon 3.9583, Reg 0.017074) | Train Acc: 0.7743 | Test Acc: 0.7387 | LR: 0.000500
[2025-10-15 20:45:00,145][contrast_train.py][line:362][INFO] Epoch [024/200] Train Loss: 1.4556 (CE 0.7080, Con 5.3443, RegionCon 3.9320, Reg 0.016635) | Train Acc: 0.7788 | Test Acc: 0.7500 | LR: 0.000500
[2025-10-15 20:48:51,649][contrast_train.py][line:362][INFO] Epoch [025/200] Train Loss: 1.4370 (CE 0.6911, Con 5.3078, RegionCon 3.9790, Reg 0.016142) | Train Acc: 0.7903 | Test Acc: 0.7220 | LR: 0.000500
[2025-10-15 20:52:42,619][contrast_train.py][line:362][INFO] Epoch [026/200] Train Loss: 1.4260 (CE 0.6838, Con 5.2763, RegionCon 3.9641, Reg 0.016340) | Train Acc: 0.7853 | Test Acc: 0.7504 | LR: 0.000500
[2025-10-15 20:56:33,915][contrast_train.py][line:362][INFO] Epoch [027/200] Train Loss: 1.4075 (CE 0.6676, Con 5.2581, RegionCon 3.9610, Reg 0.015941) | Train Acc: 0.7912 | Test Acc: 0.7480 | LR: 0.000500
[2025-10-15 21:00:25,067][contrast_train.py][line:362][INFO] Epoch [028/200] Train Loss: 1.3909 (CE 0.6525, Con 5.2382, RegionCon 3.9703, Reg 0.015977) | Train Acc: 0.7923 | Test Acc: 0.7139 | LR: 0.000500
[2025-10-15 21:04:16,015][contrast_train.py][line:362][INFO] Epoch [029/200] Train Loss: 1.3882 (CE 0.6528, Con 5.2198, RegionCon 3.9496, Reg 0.015921) | Train Acc: 0.7948 | Test Acc: 0.7719 | LR: 0.000500
[2025-10-15 21:08:06,684][contrast_train.py][line:362][INFO] Epoch [030/200] Train Loss: 1.3531 (CE 0.6213, Con 5.1886, RegionCon 3.9625, Reg 0.014812) | Train Acc: 0.8029 | Test Acc: 0.7500 | LR: 0.000500
[2025-10-15 21:11:57,994][contrast_train.py][line:362][INFO] Epoch [031/200] Train Loss: 1.3652 (CE 0.6319, Con 5.1942, RegionCon 3.9651, Reg 0.015618) | Train Acc: 0.8013 | Test Acc: 0.7314 | LR: 0.000500
[2025-10-15 21:15:49,246][contrast_train.py][line:362][INFO] Epoch [032/200] Train Loss: 1.3464 (CE 0.6155, Con 5.1737, RegionCon 3.9606, Reg 0.015552) | Train Acc: 0.8039 | Test Acc: 0.7391 | LR: 0.000500
[2025-10-15 21:19:39,447][contrast_train.py][line:362][INFO] Epoch [033/200] Train Loss: 1.3307 (CE 0.6006, Con 5.1641, RegionCon 3.9534, Reg 0.015952) | Train Acc: 0.8092 | Test Acc: 0.7500 | LR: 0.000500
[2025-10-15 21:23:30,400][contrast_train.py][line:362][INFO] Epoch [034/200] Train Loss: 1.3189 (CE 0.5906, Con 5.1524, RegionCon 3.9432, Reg 0.015912) | Train Acc: 0.8097 | Test Acc: 0.7690 | LR: 0.000500
[2025-10-15 21:27:21,281][contrast_train.py][line:362][INFO] Epoch [035/200] Train Loss: 1.3428 (CE 0.6123, Con 5.1688, RegionCon 3.9478, Reg 0.016172) | Train Acc: 0.8088 | Test Acc: 0.7634 | LR: 0.000500
[2025-10-15 21:31:12,085][contrast_train.py][line:362][INFO] Epoch [036/200] Train Loss: 1.2924 (CE 0.5695, Con 5.0983, RegionCon 3.9617, Reg 0.014997) | Train Acc: 0.8192 | Test Acc: 0.7743 | LR: 0.000500
[2025-10-15 21:35:03,118][contrast_train.py][line:362][INFO] Epoch [037/200] Train Loss: 1.2817 (CE 0.5596, Con 5.0891, RegionCon 3.9619, Reg 0.015124) | Train Acc: 0.8233 | Test Acc: 0.7735 | LR: 0.000500
[2025-10-15 21:38:55,225][contrast_train.py][line:362][INFO] Epoch [038/200] Train Loss: 1.2676 (CE 0.5479, Con 5.0708, RegionCon 3.9553, Reg 0.014907) | Train Acc: 0.8198 | Test Acc: 0.7646 | LR: 0.000500
[2025-10-15 21:42:46,192][contrast_train.py][line:362][INFO] Epoch [039/200] Train Loss: 1.2912 (CE 0.5684, Con 5.0822, RegionCon 3.9671, Reg 0.016241) | Train Acc: 0.8182 | Test Acc: 0.7966 | LR: 0.000500
[2025-10-15 21:46:37,789][contrast_train.py][line:362][INFO] Epoch [040/200] Train Loss: 1.2736 (CE 0.5538, Con 5.0674, RegionCon 3.9531, Reg 0.015358) | Train Acc: 0.8214 | Test Acc: 0.7549 | LR: 0.000250
[2025-10-15 21:50:28,264][contrast_train.py][line:362][INFO] Epoch [041/200] Train Loss: 1.1896 (CE 0.4770, Con 4.9959, RegionCon 3.9584, Reg 0.015017) | Train Acc: 0.8467 | Test Acc: 0.8088 | LR: 0.000250
[2025-10-15 21:54:18,880][contrast_train.py][line:362][INFO] Epoch [042/200] Train Loss: 1.1623 (CE 0.4538, Con 4.9558, RegionCon 3.9690, Reg 0.014427) | Train Acc: 0.8542 | Test Acc: 0.8075 | LR: 0.000250
[2025-10-15 21:58:10,207][contrast_train.py][line:362][INFO] Epoch [043/200] Train Loss: 1.1512 (CE 0.4448, Con 4.9337, RegionCon 3.9726, Reg 0.014323) | Train Acc: 0.8541 | Test Acc: 0.8144 | LR: 0.000250
