[2025-09-25 10:38:06,280][contrast_train.py][line:362][INFO] Epoch [017/200] Train Loss: 1.6540 (CE 1.2901, Con 0.0000, RegionCon 3.4836, Reg 0.015538) | Train Acc: 0.6203 | Test Acc: 0.5470 | LR: 0.001000
[2025-09-25 10:41:53,783][contrast_train.py][line:362][INFO] Epoch [018/200] Train Loss: 1.6472 (CE 1.2858, Con 0.0000, RegionCon 3.4659, Reg 0.014816) | Train Acc: 0.6206 | Test Acc: 0.5247 | LR: 0.001000
[2025-09-25 10:45:41,104][contrast_train.py][line:362][INFO] Epoch [019/200] Train Loss: 1.5948 (CE 1.2333, Con 0.0000, RegionCon 3.4602, Reg 0.015524) | Train Acc: 0.6380 | Test Acc: 0.5762 | LR: 0.001000
[2025-09-25 10:49:30,859][contrast_train.py][line:362][INFO] Epoch [020/200] Train Loss: 1.5806 (CE 1.2185, Con 0.0000, RegionCon 3.4648, Reg 0.015596) | Train Acc: 0.6370 | Test Acc: 0.6479 | LR: 0.000500
[2025-09-25 10:53:19,892][contrast_train.py][line:362][INFO] Epoch [021/200] Train Loss: 1.4443 (CE 1.0865, Con 0.0000, RegionCon 3.4347, Reg 0.014257) | Train Acc: 0.6767 | Test Acc: 0.7091 | LR: 0.000500
[2025-09-25 10:57:08,703][contrast_train.py][line:362][INFO] Epoch [022/200] Train Loss: 1.3931 (CE 1.0368, Con 0.0000, RegionCon 3.4276, Reg 0.013451) | Train Acc: 0.6863 | Test Acc: 0.7241 | LR: 0.000500
[2025-09-25 11:00:57,533][contrast_train.py][line:362][INFO] Epoch [023/200] Train Loss: 1.3864 (CE 1.0325, Con 0.0000, RegionCon 3.4110, Reg 0.012730) | Train Acc: 0.6879 | Test Acc: 0.6734 | LR: 0.000500
[2025-09-25 11:04:45,672][contrast_train.py][line:362][INFO] Epoch [024/200] Train Loss: 1.3731 (CE 1.0200, Con 0.0000, RegionCon 3.4083, Reg 0.012277) | Train Acc: 0.6922 | Test Acc: 0.7079 | LR: 0.000500
[2025-09-25 11:08:34,197][contrast_train.py][line:362][INFO] Epoch [025/200] Train Loss: 1.3384 (CE 0.9853, Con 0.0000, RegionCon 3.4095, Reg 0.012103) | Train Acc: 0.7042 | Test Acc: 0.6884 | LR: 0.000500
[2025-09-25 11:12:23,683][contrast_train.py][line:362][INFO] Epoch [026/200] Train Loss: 1.3239 (CE 0.9706, Con 0.0000, RegionCon 3.4081, Reg 0.012434) | Train Acc: 0.7056 | Test Acc: 0.6896 | LR: 0.000500
[2025-09-25 11:16:12,664][contrast_train.py][line:362][INFO] Epoch [027/200] Train Loss: 1.3068 (CE 0.9545, Con 0.0000, RegionCon 3.4050, Reg 0.011768) | Train Acc: 0.7108 | Test Acc: 0.7058 | LR: 0.000500
[2025-09-25 11:20:01,780][contrast_train.py][line:362][INFO] Epoch [028/200] Train Loss: 1.2902 (CE 0.9392, Con 0.0000, RegionCon 3.3916, Reg 0.011781) | Train Acc: 0.7178 | Test Acc: 0.6876 | LR: 0.000500
