[2025-09-23 11:11:14,238][contrast_train.py][line:362][INFO] Epoch [017/200] Train Loss: 2.1227 (CE 1.1285, Con 6.1150, RegionCon 3.6234, Reg 0.020324) | Train Acc: 0.6633 | Test Acc: 0.6341 | LR: 0.001000
[2025-09-23 11:15:09,361][contrast_train.py][line:362][INFO] Epoch [018/200] Train Loss: 2.1237 (CE 1.1315, Con 6.0949, RegionCon 3.6240, Reg 0.020321) | Train Acc: 0.6522 | Test Acc: 0.6422 | LR: 0.001000
[2025-09-23 11:19:04,139][contrast_train.py][line:362][INFO] Epoch [019/200] Train Loss: 2.0745 (CE 1.0880, Con 6.0551, RegionCon 3.6084, Reg 0.020159) | Train Acc: 0.6688 | Test Acc: 0.6143 | LR: 0.001000
[2025-09-23 11:22:58,547][contrast_train.py][line:362][INFO] Epoch [020/200] Train Loss: 2.0606 (CE 1.0757, Con 6.0377, RegionCon 3.6085, Reg 0.020304) | Train Acc: 0.6773 | Test Acc: 0.6378 | LR: 0.000500
[2025-09-23 11:26:55,871][contrast_train.py][line:362][INFO] Epoch [021/200] Train Loss: 1.9250 (CE 0.9504, Con 5.9451, RegionCon 3.6165, Reg 0.018390) | Train Acc: 0.7064 | Test Acc: 0.7233 | LR: 0.000500
[2025-09-23 11:30:53,933][contrast_train.py][line:362][INFO] Epoch [022/200] Train Loss: 1.8768 (CE 0.9084, Con 5.9052, RegionCon 3.6032, Reg 0.017541) | Train Acc: 0.7208 | Test Acc: 0.7237 | LR: 0.000500
[2025-09-23 11:34:51,349][contrast_train.py][line:362][INFO] Epoch [023/200] Train Loss: 1.8561 (CE 0.8924, Con 5.8711, RegionCon 3.6041, Reg 0.016241) | Train Acc: 0.7308 | Test Acc: 0.7196 | LR: 0.000500
[2025-09-23 11:38:48,820][contrast_train.py][line:362][INFO] Epoch [024/200] Train Loss: 1.8387 (CE 0.8785, Con 5.8374, RegionCon 3.6066, Reg 0.015784) | Train Acc: 0.7332 | Test Acc: 0.7241 | LR: 0.000500
[2025-09-23 11:42:43,595][contrast_train.py][line:362][INFO] Epoch [025/200] Train Loss: 1.8246 (CE 0.8662, Con 5.8185, RegionCon 3.6083, Reg 0.015721) | Train Acc: 0.7361 | Test Acc: 0.7220 | LR: 0.000500
[2025-09-23 11:46:38,265][contrast_train.py][line:362][INFO] Epoch [026/200] Train Loss: 1.8197 (CE 0.8633, Con 5.8023, RegionCon 3.6021, Reg 0.015956) | Train Acc: 0.7357 | Test Acc: 0.7123 | LR: 0.000500
[2025-09-23 11:50:32,559][contrast_train.py][line:362][INFO] Epoch [027/200] Train Loss: 1.7968 (CE 0.8431, Con 5.7756, RegionCon 3.6025, Reg 0.015936) | Train Acc: 0.7424 | Test Acc: 0.7496 | LR: 0.000500
[2025-09-23 11:54:26,825][contrast_train.py][line:362][INFO] Epoch [028/200] Train Loss: 1.7721 (CE 0.8212, Con 5.7528, RegionCon 3.5984, Reg 0.015802) | Train Acc: 0.7462 | Test Acc: 0.6827 | LR: 0.000500
[2025-09-23 11:58:24,641][contrast_train.py][line:362][INFO] Epoch [029/200] Train Loss: 1.7638 (CE 0.8155, Con 5.7314, RegionCon 3.6019, Reg 0.014894) | Train Acc: 0.7467 | Test Acc: 0.7164 | LR: 0.000500
[2025-09-23 12:02:20,897][contrast_train.py][line:362][INFO] Epoch [030/200] Train Loss: 1.7536 (CE 0.8074, Con 5.7101, RegionCon 3.6011, Reg 0.015056) | Train Acc: 0.7499 | Test Acc: 0.7431 | LR: 0.000500
